date,SPY,GOVT,GSG,GBTC
2022-06-30,366.068207,22.518484,23.1,12.06
2022-07-01,369.939972,22.708117,23.38,12.25
2022-07-05,370.638611,22.745855,21.85,12.93
2022-07-06,371.89035,22.566603,21.54,12.58
2022-07-07,377.460205,22.500561,22.4,13.75
2022-07-08,377.14978,22.406218,22.77,13.77
2022-07-11,372.841309,22.519428,22.76,12.85
2022-07-12,369.542145,22.576036,21.58,12.21
2022-07-13,367.601379,22.61377,21.73,12.41
2022-07-14,366.708649,22.547731,21.62,13.13
2022-07-15,373.714722,22.594904,21.89,13.7
2022-07-18,370.628967,22.528866,22.48,14.08
2022-07-19,380.643005,22.45339,22.6,15.38
2022-07-20,383.068909,22.434523,22.6,15.58
2022-07-21,386.969788,22.65151,22.17,15.04
2022-07-22,383.379456,22.830757,21.92,14.48
2022-07-25,383.845215,22.755289,22.31,13.76
2022-07-26,379.303986,22.755289,22.33,13.0
2022-07-27,389.153137,22.774157,22.86,14.23
2022-07-28,394.034058,22.877926,22.79,14.83
2022-07-29,399.778534,22.887363,22.93,14.8
2022-08-01,398.594666,23.016809,22.25,14.21
2022-08-02,395.964996,22.790051,22.05,14.18
2022-08-03,402.165619,22.87508,21.85,14.52
2022-08-04,401.893951,22.912874,21.56,13.99
2022-08-05,401.21463,22.686111,21.47,14.23
2022-08-08,400.748871,22.761696,21.69,15.14
2022-08-09,399.157471,22.71446,21.89,14.35
2022-08-10,407.541443,22.71446,22.22,14.96
2022-08-11,407.541443,22.591621,22.66,15.18
2022-08-12,414.440643,22.648314,22.57,15.22
2022-08-15,416.148499,22.66721,22.12,15.06
2022-08-16,416.963593,22.676662,21.86,14.94
2022-08-17,414.003998,22.582172,22.02,14.37
2022-08-18,415.207275,22.601074,22.36,14.48
2022-08-19,409.627716,22.497135,22.38,13.24
2022-08-22,401.098236,22.440441,22.61,12.94
2022-08-23,400.127869,22.4121,23.03,13.53
2022-08-24,401.408752,22.345957,23.29,13.59
2022-08-25,407.075592,22.449898,23.02,13.4
2022-08-26,393.296509,22.459345,23.07,12.667
2022-08-29,390.695984,22.374302,23.49,12.59
2022-08-30,386.406952,22.383759,22.76,12.34
2022-08-31,383.466766,22.298717,22.25,12.54
2022-09-01,384.670013,22.181377,21.73,12.28
2022-09-02,380.613922,22.266544,21.89,12.38
2022-09-06,379.177765,22.096203,21.72,11.72
2022-09-07,385.989716,22.200298,21.14,12.18
2022-09-08,388.512665,22.14352,21.26,12.11
2022-09-09,394.548309,22.12459,21.87,13.45
2022-09-12,398.788727,22.077276,22.21,14.15
2022-09-13,381.448425,22.01104,22.06,12.65
2022-09-14,382.903931,22.01104,22.16,12.36
2022-09-15,378.556763,21.97319,21.42,12.1
2022-09-16,375.668823,21.963724,21.38,11.98
2022-09-19,378.582062,21.935337,21.51,12.09
2022-09-20,374.236481,21.850168,21.46,11.66
2022-09-21,367.708405,21.925873,21.38,11.66
2022-09-22,364.61972,21.708223,21.33,11.74
2022-09-23,358.51059,21.708223,20.53,11.195
2022-09-26,354.963959,21.509499,20.04,11.39
2022-09-27,354.057831,21.36755,20.32,11.36
2022-09-28,361.024384,21.670366,20.98,11.68
2022-09-29,353.482941,21.623056,20.88,11.33
2022-09-30,348.016846,21.537886,20.58,11.41
2022-10-03,357.204895,21.69809,21.13,11.66
2022-10-04,368.273529,21.717051,21.74,12.1
2022-10-05,367.416077,21.612768,22.1,11.99
2022-10-06,363.625916,21.536934,22.23,11.95
2022-10-07,353.482941,21.451628,22.61,11.35
2022-10-10,350.783966,21.375786,22.31,11.33
2022-10-11,348.5625,21.404226,21.97,11.16
2022-10-12,347.41272,21.461105,21.87,11.21
2022-10-13,356.58136,21.347355,22.28,11.25
2022-10-14,348.455322,21.280998,21.73,11.16
2022-10-17,357.409576,21.280998,21.68,11.46
2022-10-18,361.608948,21.328394,21.4,11.31
2022-10-19,359.046417,21.176723,21.43,11.25
2022-10-20,356.035706,21.04402,21.46,11.27
2022-10-21,364.687927,21.062975,21.58,11.42
2022-10-24,369.150391,21.025059,21.59,11.55
2022-10-25,375.045227,21.205166,21.69,12.22
2022-10-26,372.219604,21.280998,22.17,12.52
2022-10-27,370.231934,21.394751,22.17,12.15
2022-10-28,379.040039,21.309437,21.98,12.06
2022-10-31,376.302094,21.252558,21.85,12.0
2022-11-01,374.655426,21.262062,22.1,12.03
2022-11-02,365.252991,21.233559,22.23,11.79
2022-11-03,361.492096,21.167053,22.17,11.82
2022-11-04,366.695099,21.119551,22.98,12.254
2022-11-07,370.202728,21.053057,22.83,12.06
2022-11-08,372.200134,21.14806,22.44,10.564
2022-11-09,364.532013,21.195555,21.84,8.765
2022-11-10,384.564545,21.537575,22.02,9.65
2022-11-11,388.286591,21.499573,22.42,8.87
2022-11-14,384.983521,21.461569,21.98,8.955
2022-11-15,388.26709,21.585077,22.31,9.68
2022-11-16,385.305115,21.708584,22.07,9.2
2022-11-17,384.126099,21.623079,21.63,8.75
2022-11-18,385.870178,21.556578,21.44,8.35
2022-11-21,384.467133,21.566082,21.4,8.28
2022-11-22,389.640869,21.651579,21.66,8.444
2022-11-23,392.096252,21.746588,21.25,9.23
2022-11-25,392.008545,21.73708,21.02,9.03
2022-11-28,385.753265,21.775084,20.85,8.84
2022-11-29,385.090729,21.689583,21.13,8.69
2022-11-30,397.221283,21.82259,21.59,9.05
2022-12-01,396.929016,22.029173,21.47,8.89
2022-12-02,396.471069,22.076777,21.21,8.98
2022-12-05,389.338837,21.933977,20.59,8.82
2022-12-06,383.726624,22.019651,20.1,8.76
2022-12-07,383.073822,22.181498,19.94,8.11
2022-12-08,386.074799,22.124371,19.87,8.19
2022-12-09,383.190765,21.991093,19.89,8.03
2022-12-12,388.715271,21.972052,20.22,8.1
2022-12-13,391.657806,22.114853,20.68,8.29
2022-12-14,389.153717,22.143414,20.93,8.4
2022-12-15,379.634369,22.188227,20.74,8.3
2022-12-16,375.152344,22.140551,20.43,7.93
2022-12-19,371.971191,22.016594,20.41,8.13
2022-12-20,372.480164,21.902172,20.42,8.08
2022-12-21,378.049683,21.93078,20.87,8.05
2022-12-22,372.656403,21.921242,20.71,8.15
2022-12-23,374.799988,21.825893,21.09,8.33
2022-12-27,373.32196,21.701939,21.24,7.86
2022-12-28,368.682373,21.673328,21.04,7.8
2022-12-29,375.318756,21.740082,20.99,7.98
2022-12-30,374.33017,21.663797,21.23,8.29
2023-01-03,372.754242,21.778215,20.58,8.2
2023-01-04,375.631958,21.883102,19.92,8.38
2023-01-05,371.344788,21.873566,19.86,8.45
2023-01-06,379.860474,22.06427,19.97,8.65
2023-01-09,379.645142,22.121479,20.21,9.65
2023-01-10,382.307526,22.026129,20.21,9.88
2023-01-11,387.142883,22.111946,20.68,9.8
2023-01-12,388.552399,22.293116,20.9,10.49
2023-01-13,390.059814,22.207298,21.15,11.32
2023-01-17,389.345245,22.169157,21.37,11.72
2023-01-18,383.198273,22.369392,21.08,10.83
2023-01-19,380.4086,22.340794,21.28,11.46
2023-01-20,387.4953,22.216833,21.49,12.18
2023-01-23,392.144684,22.159624,21.6,12.28
2023-01-24,391.723846,22.264507,21.37,11.97
2023-01-25,391.870636,22.283583,21.32,12.11
2023-01-26,396.177429,22.235903,21.48,12.24
2023-01-27,397.087738,22.197762,21.2,12.36
2023-01-30,392.105499,22.159624,20.87,11.89
2023-01-31,397.870819,22.245443,21.21,12.15
2023-02-01,402.099274,22.373449,20.69,12.65
2023-02-02,407.952637,22.373449,20.47,12.93
2023-02-03,403.616455,22.201494,19.99,12.32
2023-02-06,401.149841,22.077301,20.13,11.93
2023-02-07,406.396271,22.029537,20.59,12.15
2023-02-08,401.952484,22.086857,20.68,11.75
2023-02-09,398.467865,22.010433,20.53,10.63
2023-02-10,399.397766,21.924452,20.9,10.67
2023-02-13,404.086243,21.972219,20.83,10.39
2023-02-14,403.900299,21.905348,20.9,10.85
2023-02-15,405.211945,21.84803,20.64,12.17
2023-02-16,399.63266,21.78116,20.53,11.89
2023-02-17,398.634247,21.84803,20.3,12.2
2023-02-21,390.637299,21.676075,20.38,11.88
2023-02-22,390.098938,21.733385,20.0,11.58
2023-02-23,392.174072,21.79071,20.17,11.89
2023-02-24,387.984711,21.676075,20.22,11.46
2023-02-27,389.306091,21.714283000000002,20.18,11.49
2023-02-28,387.867279,21.742947,20.31,11.54
2023-03-01,386.379395,21.628101,20.61,11.51
2023-03-02,389.384399,21.570683,20.55,11.51
2023-03-03,395.629242,21.704662,20.87,11.25
2023-03-06,395.903412,21.666382,20.85,11.77
2023-03-07,389.834656,21.656813,20.31,12.9
2023-03-08,390.470917,21.64724,20.2,13.24
2023-03-09,383.266815,21.75251,19.92,11.8
2023-03-10,377.73645,22.058752,20.13,11.23
2023-03-13,377.19809,22.269291,19.91,12.65
2023-03-14,383.433167,22.097031,19.56,13.49
2023-03-15,381.035065,22.355423,19.01,13.27
2023-03-16,387.720428,22.202299,19.06,14.05
2023-03-17,383.18689,22.41284,18.89,15.43
2023-03-20,386.87149,22.336281,19.02,16.0
2023-03-21,391.951294,22.173592,19.21,16.0
2023-03-22,385.269897,22.374561,19.24,15.08
2023-03-23,386.311462,22.470261,19.15,16.1
2023-03-24,388.846405,22.489397,19.24,16.0
2023-03-27,389.573517,22.269291,19.74,15.23
2023-03-28,388.699066,22.259722,19.83,15.61
2023-03-29,394.348785,22.231005,19.71,15.84
2023-03-30,396.657806,22.269291,19.87,15.82
2023-03-31,402.248474,22.374561,20.12,16.36
2023-04-03,403.78125,22.44455,20.66,16.05
2023-04-04,401.541077,22.540424,20.63,15.96
2023-04-05,400.489746,22.61713,20.66,16.19
2023-04-06,402.052002,22.61713,20.62,16.21
2023-04-10,402.4646,22.45414,20.6,17.14
2023-04-11,402.572723,22.463728,20.81,17.72
2023-04-12,400.931885,22.492485,21.01,17.07
2023-04-13,406.257294,22.45414,20.93,17.7
2023-04-14,405.264923,22.348675,20.98,17.43
2023-04-17,406.719116,22.252798,20.84,16.81
2023-04-18,406.984406,22.271969,20.88,17.14
2023-04-19,406.915619,22.233622,20.56,16.34
2023-04-20,404.695068,22.339085,20.21,15.82
2023-04-21,405.00946,22.291147,20.21,15.2
2023-04-24,405.431946,22.377436,20.38,14.99
2023-04-25,398.996246,22.569187,20.01,14.96
2023-04-26,397.306244,22.482901,19.6,15.1
2023-04-27,405.21582,22.358263,19.63,16.44
2023-04-28,408.674408,22.47331,19.91,16.42
2023-05-01,408.261688,22.280193,19.76,15.25
2023-05-02,403.673187,22.501179,19.16,16.21
2023-05-03,400.902405,22.606859,18.69,16.35
2023-05-04,398.062836,22.597252,18.8,16.55
2023-05-05,405.431946,22.501179,19.26,16.81
2023-05-08,405.540039,22.385881,19.52,15.51
2023-05-09,403.761627,22.366669,19.58,15.66
2023-05-10,405.648132,22.491568,19.47,15.39
2023-05-11,404.940704,22.558819,19.15,14.66
2023-05-12,404.410095,22.453138,19.03,14.26
2023-05-15,405.805359,22.405096,19.32,15.0
2023-05-16,403.093445,22.366669,19.12,14.63
2023-05-17,407.986633,22.318626,19.43,15.02
2023-05-18,411.91687,22.222546,19.29,14.42
2023-05-19,411.317474,22.145689,19.25,14.39
2023-05-22,411.484558,22.126472,19.24,14.19
2023-05-23,406.866486,22.145689,19.32,14.33
2023-05-24,403.918854,22.088039,19.46,13.695
2023-05-25,407.416718,22.011185,19.15,13.76
2023-05-26,412.693024,22.020788,19.37,13.83
2023-05-30,412.850281,22.155298,18.86,14.35
2023-05-31,410.560944,22.232157,18.67,13.89
2023-06-01,414.46167,22.280298,19.0,14.05
2023-06-02,420.455261,22.145504,19.36,14.38
2023-06-05,419.649597,22.145504,19.33,13.681
2023-06-06,420.563324,22.164766,19.37,14.47
